Date,Precipitation,AvgPrecipitation
20110601,0.00+,0.11
20110602,0.00+,0.1
20110603,0.00+,0.11
20110604,0.01+,0.11
20110605,0.00+,0.11
20110606,0.00+,0.11
20110607,0.00+,0.11
20110608,0.00+,0.11
20110609,0.00+,0.11
20110610,T+,0.11
20110611,0.12+,0.11
20110612,0.27+,0.11
20110613,0.00+,0.11
20110614,0.04+,0.12
20110615,0.00+,0.11
20110616,T+,0.11
20110617,0.02+,0.1
20110618,0.00+,0.11
20110619,0.00+,0.11
20110620,T+,0.11
20110621,0.00+,0.11
20110622,0.69+,0.11
20110623,0.85+,0.11
20110624,0.87+,0.11
20110625,0.19+,0.12
20110626,0.02+,0.11
20110627,0.00+,0.11
20110628,0.23+,0.11
20110629,T+,0.11
20110630,0.00+,0.12
20110701,0.00+,0.12
20110702,0.00+,0.12
20110703,T+,0.12
20110704,0.00+,0.11
20110705,0.00+,0.12
20110706,0.19+,0.12
20110707,0.00+,0.12
20110708,1.34+,0.12
20110709,0.00+,0.13
20110710,0.00+,0.13
20110711,0.01+,0.12
20110712,0.00+,0.12
20110713,T+,0.13
20110714,0.00+,0.12
20110715,0.00+,0.12
20110716,0.00+,0.13
20110717,0.00+,0.13
20110718,0.48+,0.12
20110719,0.00+,0.12
20110720,0.00+,0.13
20110721,0.00+,0.12
20110722,0.00+,0.13
20110723,T+,0.12
20110724,T+,0.12
20110725,0.26+,0.12
20110726,0.09+,0.12
20110727,T+,0.12
20110728,T+,0.13
20110729,0.92+,0.12
20110730,0.00+,0.11
20110731,0.01+,0.12
20110801,0.00+,0.12
20110802,0.00+,0.12
20110803,0.74+,0.12
20110804,0.00+,0.11
20110805,0.00+,0.11
20110806,0.21+,0.11
20110807,0.31+,0.11
20110808,T+,0.11
20110809,1.52+,0.11
20110810,0.60+,0.12
20110811,T+,0.11
20110812,0.00+,0.12
20110813,0.00+,0.11
20110814,0.13+,0.12
20110815,0.51+,0.12
20110816,0.11+,0.12
20110817,0.00+,0.12
20110818,0.00+,0.12
20110819,0.00+,0.12
20110820,0.00+,0.12
20110821,0.71+,0.12
20110822,0.18+,0.11
20110823,0.03+,0.12
20110824,0.00+,0.11
20110825,0.50+,0.11
20110826,0.00+,0.11
20110827,0.00+,0.11
20110828,1.11+,0.11
20110829,0.00+,0.12
20110830,0.00+,0.11
20110831,0.00+,0.12
20110901,0.05+,0.12
20110902,0.00+,0.12
20110903,0.00+,0.12
20110904,T+,0.11
20110905,0.94+,0.12
20110906,T+,0.12
20110907,2.58+,0.11
20110908,0.07+,0.11
20110909,0.00+,0.12
20110910,0.00+,0.12
20110911,0.00+,0.12
20110912,0.00+,0.12
20110913,0.01+,0.12
20110914,0.01+,0.13
20110915,0.24+,0.12
20110916,0.01+,0.12
20110917,0.00+,0.13
20110918,0.00+,0.13
20110919,0.16+,0.12
20110920,0.20+,0.13
20110921,0.00+,0.13
20110922,0.55+,0.13
20110923,0.55+,0.14
20110924,T+,0.13
20110925,0.00+,0.12
20110926,0.00+,0.13
20110927,0.03+,0.13
20110928,0.01+,0.12
20110929,0.88+,0.13
20110930,T+,0.12
20120601,0.28+,0.11
20120602,0.13+,0.1
20120603,0.16+,0.11
20120604,0.33+,0.11
20120605,0.00+,0.11
20120606,0.01+,0.11
20120607,0.00+,0.11
20120608,0.00+,0.11
20120609,0.20+,0.11
20120610,0.02+,0.11
20120611,0.00+,0.11
20120612,0.48+,0.11
20120613,0.00+,0.11
20120614,0.00+,0.12
20120615,0.00+,0.11
20120616,0.00+,0.11
20120617,0.00+,0.1
20120618,0.01+,0.11
20120619,0.28+,0.11
20120620,0.00+,0.11
20120621,0.00+,0.11
20120622,T+,0.11
20120623,0.00+,0.11
20120624,0.07+,0.11
20120625,T+,0.12
20120626,T+,0.11
20120627,0.00+,0.11
20120628,0.00+,0.11
20120629,0.31+,0.11
20120630,0.00+,0.12
20120701,0.00+,0.12
20120702,0.00+,0.12
20120703,0.08+,0.12
20120704,0.00+,0.11
20120705,0.00+,0.12
20120706,0.00+,0.12
20120707,0.14+,0.12
20120708,0.00+,0.12
20120709,0.00+,0.13
20120710,T+,0.13
20120711,0.00+,0.12
20120712,0.00+,0.12
20120713,T+,0.13
20120714,0.00+,0.12
20120715,0.15+,0.12
20120716,0.00+,0.13
20120717,T+,0.13
20120718,0.00+,0.12
20120719,0.00+,0.12
20120720,0.00+,0.13
20120721,0.00+,0.12
20120722,0.00+,0.13
20120723,0.26+,0.12
20120724,T+,0.12
20120725,T+,0.12
20120726,0.53+,0.12
20120727,0.24+,0.12
20120728,0.37+,0.13
20120729,0.00+,0.12
20120730,0.05+,0.11
20120731,0.02+,0.12
20120801,T+,0.12
20120802,0.00+,0.12
20120803,T+,0.12
20120804,0.00+,0.11
20120805,0.10+,0.11
20120806,0.00+,0.11
20120807,0.00+,0.11
20120808,0.00+,0.11
20120809,0.53+,0.11
20120810,0.21+,0.12
20120811,0.00+,0.11
20120812,0.09+,0.12
20120813,T+,0.11
20120814,0.49+,0.12
20120815,0.11+,0.12
20120816,0.00+,0.12
20120817,T+,0.12
20120818,0.00+,0.12
20120819,0.00+,0.12
20120820,T+,0.12
20120821,0.00+,0.12
20120822,0.00+,0.11
20120823,0.00+,0.12
20120824,0.00+,0.11
20120825,0.00+,0.11
20120826,0.00+,0.11
20120827,0.37+,0.11
20120828,0.37+,0.11
20120829,0.00+,0.12
20120830,0.00+,0.11
20120831,0.00+,0.12
20120901,0.00+,0.12
20120902,0.00+,0.12
20120903,0.00+,0.12
20120904,0.12+,0.11
20120905,T+,0.12
20120906,0.25+,0.12
20120907,0.00+,0.11
20120908,0.08+,0.11
20120909,T+,0.12
20120910,0.00+,0.12
20120911,0.00+,0.12
20120912,0.00+,0.12
20120913,0.00+,0.12
20120914,0.64+,0.13
20120915,T+,0.12
20120916,0.00+,0.12
20120917,0.00+,0.13
20120918,0.82+,0.13
20120919,0.01+,0.12
20120920,0.00+,0.13
20120921,0.01+,0.13
20120922,0.45+,0.13
20120923,0.01+,0.14
20120924,0.00+,0.13
20120925,0.04+,0.12
20120926,0.12+,0.13
20120927,0.00+,0.13
20120928,0.24+,0.12
20120929,0.00+,0.13
20120930,0.32+,0.12
20130601,T+,0.11
20130602,0.04+,0.1
20130603,0.00+,0.11
20130604,0.00+,0.11
20130605,0.00+,0.11
20130606,2.39+,0.11
20130607,0.04+,0.11
20130608,0.06+,0.11
20130609,0.00+,0.11
20130610,0.53+,0.11
20130611,0.17+,0.11
20130612,0.00+,0.11
20130613,1.23+,0.11
20130614,0.00+,0.12
20130615,0.00+,0.11
20130616,0.18+,0.11
20130617,0.03+,0.1
20130618,0.02+,0.11
20130619,0.00+,0.11
20130620,0.00+,0.11
20130621,0.00+,0.11
20130622,0.00+,0.11
20130623,0.02+,0.11
20130624,0.00+,0.11
20130625,0.22+,0.12
20130626,0.37+,0.11
20130627,0.49+,0.11
20130628,0.70+,0.11
20130629,0.13+,0.11
20130630,T+,0.12
20130701,0.32+,0.12
20130702,0.02+,0.12
20130703,0.19+,0.12
20130704,T+,0.11
20130705,0.20+,0.12
20130706,0.01+,0.12
20130707,0.05+,0.12
20130708,0.02+,0.12
20130709,0.08+,0.13
20130710,0.21+,0.13
20130711,T+,0.12
20130712,0.00+,0.12
20130713,T+,0.13
20130714,T+,0.12
20130715,0.00+,0.12
20130716,0.00+,0.13
20130717,T+,0.13
20130718,T+,0.12
20130719,0.09+,0.12
20130720,0.27+,0.13
20130721,0.00+,0.12
20130722,0.06+,0.13
20130723,0.28+,0.12
20130724,0.01+,0.12
20130725,0.00+,0.12
20130726,0.00+,0.12
20130727,0.46+,0.12
20130728,0.94+,0.13
20130729,0.01+,0.12
20130730,0.00+,0.11
20130731,0.00+,0.12
20130801,0.28+,0.12
20130802,0.02+,0.12
20130803,0.04+,0.12
20130804,T+,0.11
20130805,0.00+,0.11
20130806,0.00+,0.11
20130807,0.00+,0.11
20130808,0.14+,0.11
20130809,0.12+,0.11
20130810,0.00+,0.12
20130811,0.00+,0.11
20130812,0.00+,0.12
20130813,0.69+,0.11
20130814,T+,0.12
20130815,0.00+,0.12
20130816,0.00+,0.12
20130817,0.00+,0.12
20130818,0.00+,0.12
20130819,T+,0.12
20130820,0.00+,0.12
20130821,0.00+,0.12
20130822,0.39+,0.11
20130823,0.00+,0.12
20130824,0.00+,0.11
20130825,0.01+,0.11
20130826,0.51+,0.11
20130827,T+,0.11
20130828,T+,0.11
20130829,0.00+,0.12
20130830,0.19+,0.11
20130831,0.20+,0.12
20130901,0.82+,0.12
20130902,0.32+,0.12
20130903,T+,0.12
20130904,T+,0.11
20130905,0.00+,0.12
20130906,0.00+,0.12
20130907,0.39+,0.11
20130908,0.09+,0.11
20130909,0.00+,0.12
20130910,0.38+,0.12
20130911,0.17+,0.12
20130912,0.25+,0.12
20130913,0.02+,0.12
20130914,0.02+,0.13
20130915,0.01+,0.12
20130916,0.05+,0.12
20130917,0.00+,0.13
20130918,0.00+,0.13
20130919,0.00+,0.12
20130920,0.00+,0.13
20130921,0.67+,0.13
20130922,0.01+,0.13
20130923,0.00+,0.14
20130924,0.00+,0.13
20130925,0.00+,0.12
20130926,0.00+,0.13
20130927,0.00+,0.13
20130928,0.00+,0.12
20130929,0.00+,0.13
20130930,0.00+,0.12
20140601,0.00+,0.11
20140602,0.04+,0.1
